"eBird中文俗名
(紅字表示系統尚無中文俗名)",eBird英文俗名,eBird學名,"現行臺灣鳥類名錄中文名
(與eBird中文俗名相異者以紅字標示)","現行臺灣鳥類名錄學名
(與eBird學名相異者以紅字標示)","2025
全球紅皮書等級",eBird英文俗名簡碼,eBird學名簡碼,"eBird網頁代碼
species code",分類排序編號,eBird外來種狀態,"eBird中文俗名
(香港)","eBird中文俗名
(簡體)",其他中文俗名,PhotoLink,Credit,MLCode
樹鴨,Lesser Whistling-Duck,Dendrocygna javanica,樹鴨,Dendrocygna javanica,LC,LEWD LWDU,DEJA,lewduc1,258,,栗樹鴨,栗树鸭,,,,
斑頭雁,Bar-headed Goose,Anser indicus,斑頭雁,Anser indicus,LC,BHGO,ANIN,bahgoo,265,,斑頭雁,斑头雁,,,,
灰雁,Graylag Goose,Anser anser,灰雁,Anser anser,LC,GRGO,ANAN,gragoo,275,,灰雁,灰雁,,,,
鴻雁,Swan Goose,Anser cygnoides,鴻雁,Anser cygnoides,EN,SWGO,ANCY,swagoo1,281,,鴻雁,鸿雁,,,,
白額雁,Greater White-fronted Goose,Anser albifrons,白額雁,Anser albifrons,LC,GWFG,ANAL,gwfgoo,287,,白額雁,白额雁,,,,
小白額雁,Lesser White-fronted Goose,Anser erythropus,小白額雁,Anser erythropus,VU,LWFG,ANER,lwfgoo,299,,小白額雁,小白额雁,,,,
寒林豆雁,Taiga Bean-Goose,Anser fabalis,寒林豆雁,Anser fabalis,LC,BEGO TBGO TABG,ANFA,taibeg1,301,,寒林豆雁,豆雁,大雁,,,
凍原豆雁,Tundra Bean-Goose,Anser serrirostris,凍原豆雁,Anser serrirostris,LC,BEGO TBGO TUBG,ANSE,tunbeg1,306,,凍原豆雁,短嘴豆雁,大雁,,,
黑雁,Brant,Branta bernicla,黑雁,Branta bernicla,LC,BRGO BRAN,BRBE,brant,314,,黑雁,黑雁,,,,
小加拿大雁,Cackling Goose,Branta hutchinsii,小加拿大雁,Branta hutchinsii,LC,CAGO CACG,BRHU,cacgoo1,331,,小美洲黑雁,小美洲黑雁,,,,
疣鼻天鵝,Mute Swan,Cygnus olor,疣鼻天鵝,Cygnus olor,LC,MUSW,CYOL,mutswa,377,逃逸種,疣鼻天鵝,疣鼻天鹅,瘤鵠,,,
小天鵝,Tundra Swan,Cygnus columbianus,小天鵝,Cygnus columbianus,LC,BESW TUSW,CYCO,tunswa,384,,,小天鹅,鵠,,,
黃嘴天鵝,Whooper Swan,Cygnus cygnus,黃嘴天鵝,Cygnus cygnus,LC,WHSW WHOS,CYCY,whoswa,390,,大天鵝,大天鹅,,,,
瀆鳧,Ruddy Shelduck,Tadorna ferruginea,瀆鳧,Tadorna ferruginea,LC,RUSH,TAFE,rudshe,421,,赤麻鴨,赤麻鸭,,,,
花鳧,Common Shelduck,Tadorna tadorna,花鳧,Tadorna tadorna,LC,COSH COMS,TATA,comshe,426,,翹鼻麻鴨,翘鼻麻鸭,,,,
棉鴨,Cotton Pygmy-Goose,Nettapus coromandelianus,棉鴨,Nettapus coromandelianus,LC,COPG CPGO,NECO,copgoo1,449,,棉鳧,棉凫,,,,
鴛鴦,Mandarin Duck,Aix galericulata,鴛鴦,Aix galericulata,LC,MADU,AIGA,manduc,457,,鴛鴦,鸳鸯,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/563763211/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML563763211
巴鴨,Baikal Teal,Sibirionetta formosa,巴鴨,Sibirionetta formosa,LC,BATE,SIFO,baitea,478,,花臉鴨,花脸鸭,,,,
白眉鴨,Garganey,Spatula querquedula,白眉鴨,Spatula querquedula,LC,GARG,SPQU,gargan,479,,白眉鴨,白眉鸭,,,,
琵嘴鴨,Northern Shoveler,Spatula clypeata,琵嘴鴨,Spatula clypeata,LC,NOSH NSHO,SPCL,norsho,501,,琵嘴鴨,琵嘴鸭,,,,
赤膀鴨,Gadwall,Mareca strepera,赤膀鴨,Mareca strepera,LC,GADW,MAST,gadwal,505,,赤膀鴨,赤膀鸭,紫膀鴨,,,
羅文鴨,Falcated Duck,Mareca falcata,羅文鴨,Mareca falcata,LC,FADU,MAFA,falduc,509,,羅紋鴨,罗纹鸭,,,,
赤頸鴨,Eurasian Wigeon,Mareca penelope,赤頸鴨,Mareca penelope,LC,EUWI,MAPE,eurwig,512,,赤頸鴨,赤颈鸭,,,,
葡萄胸鴨,American Wigeon,Mareca americana,葡萄胸鴨,Mareca americana,LC,AMWI,MAAM,amewig,517,,綠眉鴨,绿眉鸭,,,,
呂宋鴨,Philippine Duck,Anas luzonica,呂宋鴨,Anas luzonica,LC,PHDU,ANLU,phiduc1,539,,棕頸鴨,棕颈鸭,,,,
花嘴鴨,Eastern Spot-billed Duck,Anas zonorhyncha,花嘴鴨,Anas zonorhyncha,LC,CSBD ESBD,ANZO,spbduc,543,,中華斑嘴鴨,斑嘴鸭,斑嘴鴨,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/240973301/1200,©Ting-Wei (廷維) HUNG (洪),ML240973301
綠頭鴨,Mallard,Anas platyrhynchos,綠頭鴨,Anas platyrhynchos,LC,MALL,ANPL,mallar3,545,,綠頭鴨,绿头鸭,野鴨,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/615484573/1200,©小七 陳,ML615484573
尖尾鴨,Northern Pintail,Anas acuta,尖尾鴨,Anas acuta,LC,NOPI,ANAC,norpin,594,,針尾鴨,针尾鸭,,,,
小水鴨,Green-winged Teal,Anas crecca,小水鴨,Anas crecca,LC,EUTE CWTE EWTE GWTE,ANCR,gnwtea,612,,綠翅鴨,绿翅鸭/美洲绿翅鸭,,,,
赤嘴潛鴨,Red-crested Pochard,Netta rufina,赤嘴潛鴨,Netta rufina,LC,RCPO,NERU,recpoc,660,,赤嘴潛鴨,赤嘴潜鸭,,,,
帆背潛鴨,Canvasback,Aythya valisineria,帆背潛鴨,Aythya valisineria,LC,CANV,AYVA,canvas,666,,,帆背潜鸭,美洲磯雁,,,
紅頭潛鴨,Common Pochard,Aythya ferina,紅頭潛鴨,Aythya ferina,VU,COPO COMP,AYFE,compoc,670,,紅頭潛鴨,红头潜鸭,磯雁,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/124695961/1200,©Giambi (鈞弼) Chang (張),ML124695961
環頸潛鴨,Ring-necked Duck,Aythya collaris,環頸潛鴨,Aythya collaris,LC,RNDU,AYCO,rinduc,673,,,环颈潜鸭,,,,
白眼潛鴨,Ferruginous Duck,Aythya nyroca,白眼潛鴨,Aythya nyroca,NT,FEDU,AYNY,ferduc,677,,白眼潛鴨,白眼潜鸭,,,,
青頭潛鴨,Baer's Pochard,Aythya baeri,青頭潛鴨,Aythya baeri,CR,BAPO,AYBA,baepoc1,681,,青頭潛鴨,青头潜鸭,,,,
鳳頭潛鴨,Tufted Duck,Aythya fuligula,鳳頭潛鴨,Aythya fuligula,LC,TUDU,AYFU,tufduc,687,,鳳頭潛鴨,凤头潜鸭,澤鳧,,,
斑背潛鴨,Greater Scaup,Aythya marila,斑背潛鴨,Aythya marila,LC,GRSC,AYMA,gresca,694,,斑背潛鴨,斑背潜鸭,鈴鴨 玲鴨,,,
小斑背潛鴨,Lesser Scaup,Aythya affinis,小斑背潛鴨,Aythya affinis,LC,LESC,AYAF,lessca,700,,,小潜鸭,,,,
斑臉海番鴨,Stejneger's Scoter,Melanitta stejnegeri,斑臉海番鴨,Melanitta stejnegeri,LC,SISC,MEST,whwsco1,731,,,,,,,
長尾鴨,Long-tailed Duck,Clangula hyemalis,長尾鴨,Clangula hyemalis,VU,LTDU,CLHY,lotduc,741,,長尾鴨,长尾鸭,,,,
鵲鴨,Common Goldeneye,Bucephala clangula,鵲鴨,Bucephala clangula,LC,COGO,BUCL,comgol,743,,鵲鴨,鹊鸭,,,,
白秋沙,Smew,Mergellus albellus,白秋沙,Mergellus albellus,LC,SMEW,MEAL,smew,752,,白秋沙鴨,斑头秋沙鸭 (白秋沙鸭),,,,
川秋沙,Common Merganser,Mergus merganser,川秋沙,Mergus merganser,LC,GOOS COME,MEME,commer,762,,普通秋沙鴨,普通秋沙鸭,,,,
紅胸秋沙,Red-breasted Merganser,Mergus serrator,紅胸秋沙,Mergus serrator,LC,RBME,MESE,rebmer,770,,紅胸秋沙鴨,红胸秋沙鸭,海秋沙,,,
唐秋沙,Scaly-sided Merganser,Mergus squamatus,唐秋沙,Mergus squamatus,EN,SSME,MESQ,scsmer1,774,,中華沙秋鴨,中华秋沙鸭,,,,
臺灣山鷓鴣,Taiwan Partridge,Arborophila crudigularis,臺灣山鷓鴣,Arborophila crudigularis,LC,TAPA,ARCR,taipar1,1210,,,台湾山鹧鸪,深山竹雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/534924371/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML534924371
黑長尾雉,Mikado Pheasant,Syrmaticus mikado,黑長尾雉,Syrmaticus mikado,LC,MIPH,SYMI,mikphe1,1468,,,黑长尾雉,帝雉,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/616320905/1200,©Chien-wei Tseng,ML616320905
環頸雉,Ring-necked Pheasant,Phasianus colchicus,環頸雉,Phasianus colchicus,LC,RNPH COPH RNEP,PHCO,rinphe1,1477,,環頸雉,环颈雉,雉雞 啼雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/256448121/1200,©Ting-Wei (廷維) HUNG (洪),ML256448121
藍腹鷴,Swinhoe's Pheasant,Lophura swinhoii,藍腹鷴,Lophura swinhoii,NT,SWPH,LOSW,swiphe1,1527,,,蓝腹鹇,藍鷴,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/623903160/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML623903160
藍孔雀,Indian Peafowl,Pavo cristatus,藍孔雀,Pavo cristatus,LC,INPE,PACR,compea,1573,歸化種,藍孔雀,蓝孔雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/393068461/1200,©Ting-Wei (廷維) HUNG (洪),ML393068461
臺灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox,臺灣竹雞,Bambusicola sonorivox,LC,TBPA TABP,BASO,taibap1,1617,,,台湾竹鸡,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/491391231/1200,©一起 呂,ML491391231
小鵪鶉,Blue-breasted Quail,Synoicus chinensis,小鵪鶉,Synoicus chinensis,LC,KIQU BBQU ABQU,SYCH,blbqua1,1726,,藍胸鶉,蓝胸鹑,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/257083811/1200,©He Ji-geng,ML257083811
鵪鶉,Japanese Quail,Coturnix japonica,鵪鶉,Coturnix japonica,NT,JAQU,COJA,japqua,1744,,鵪鶉,鹌鹑,,,,
野鴿(野化),Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),野鴿,Columba livia,LC,FEPI ROPI RODO,COLI,rocpig1,1868,歸化種,原鴿 (Feral Pigeon),原鸽 (野化家鸽),,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/207416121/1200,©Jhih-Wei (志偉) TSAI (蔡),ML207416121
灰林鴿,Ashy Wood-Pigeon,Columba pulchricollis,灰林鴿,Columba pulchricollis,LC,ASWO AWPI ASWP,COPU,aswpig1,1908,,,灰林鸽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/619427463/1200,©Po-Wei Chi,ML619427463
黑林鴿,Black Wood-Pigeon,Columba janthina,黑林鴿,Columba janthina,LC,BLWP JAWO BWPI,COJA,jawpig1,1914,,,黑林鸽,烏鳩,,,
白喉林鴿,Metallic Pigeon,Columba vitiensis,白喉林鴿,Columba vitiensis,LC,MEPI WTPI,COVI,metpig1,1920,,,白喉林鸽,,,,
金背鳩,Oriental Turtle-Dove,Streptopelia orientalis,金背鳩,Streptopelia orientalis,LC,OTDO RTDO ORTD,STOR,ortdov,2022,,山斑鳩,山斑鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/300068251/1200,©Jo-Szu [Ross] (若詩) Tsai (蔡),ML300068251
灰斑鳩,Eurasian Collared-Dove,Streptopelia decaocto,灰斑鳩,Streptopelia decaocto,LC,CODO ECDO EUCD,STDE,eucdov,2031,,灰斑鳩,灰斑鸠,,,,
紅鳩,Red Collared-Dove,Streptopelia tranquebarica,紅鳩,Streptopelia tranquebarica,LC,RECD RCDO RTDO RETD,STTR,recdov1,2059,,火斑鳩,火斑鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/617726211/1200,©Allen Lyu,ML617726211
珠頸斑鳩,Spotted Dove,Spilopelia chinensis,珠頸斑鳩,Spilopelia chinensis,LC,ESDO SPDO,SPCH,spodov,2064,,珠頸斑鳩,珠颈斑鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/518044761/1200,©Scott (瑞興) LIN(林),ML518044761
斑尾鵑鳩,Barred Cuckoo-Dove,Macropygia unchall,斑尾鵑鳩,Macropygia unchall,LC,BACD BCDO,MAUN,bacdov1,2078,,斑尾鵑鳩,斑尾鹃鸠,,,,
長尾鳩,Philippine Cuckoo-Dove,Macropygia tenuirostris,長尾鳩,Macropygia tenuirostris,LC,PHCD PCDO,MATE,phcdov1,2113,,,菲律宾鹃鸠,栗褐鵑鳩,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/26173531/1200,©Ko Cheng,ML26173531
翠翼鳩,Asian Emerald Dove,Chalcophaps indica,翠翼鳩,Chalcophaps indica,LC,AEDO GCED CEDO,CHIN,emedov2,2162,,綠翅金鳩,绿翅金鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/451853941/1200,©Ting-Wei (廷維) HUNG (洪),ML451853941
斑馬鳩,Zebra Dove,Geopelia striata,斑馬鳩,Geopelia striata,LC,ZEDO ZEBD,GEST,zebdov,2232,歸化種,班姬地鳩,斑姬地鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/513210791/1200,©Meng-Chieh (孟婕) FENG (馮),ML513210791
橙胸綠鳩,Orange-breasted Green-Pigeon,Treron bicinctus,橙胸綠鳩,Treron bicinctus,LC,OBGP,TRBI,orbpig1,2490,,橙胸綠鳩,橙胸绿鸠,,,,
厚嘴綠鳩,Thick-billed Green-Pigeon,Treron curvirostra,厚嘴綠鳩,Treron curvirostra,LC,TBGP,TRCU,thbpig1,2507,,厚嘴綠鳩,厚嘴绿鸠,,,,
綠鳩,White-bellied Green-Pigeon,Treron sieboldii,綠鳩,Treron sieboldii,LC,WBGP,TRSI,whbpig1,2573,,紅翅綠鳩,红翅绿鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/167547201/1200,©Jhih-Wei (志偉) TSAI (蔡),ML167547201
紅頭綠鳩,Whistling Green-Pigeon,Treron formosae,紅頭綠鳩,Treron formosae,NT,WGPI TAGP WHGP TGPI,TRFO,whgpig1,2577,,紅頂綠鳩,红顶绿鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/88858331/1200,©Cheng-Ru Tsai,ML88858331
小綠鳩,Black-chinned Fruit-Dove,Ramphiculus leclancheri,小綠鳩,Ramphiculus leclancheri,LC,BCFD,RALE,bcfdov1,2607,,,黑颏果鸠,黑頦果鳩,,,
褐翅鴉鵑,Greater Coucal,Centropus sinensis,褐翅鴉鵑,Centropus sinensis,LC,GRCO,CESI,grecou1,3121,,褐翅鴉鵑,褐翅鸦鹃,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/192358001/1200,©Ting-Wei (廷維) HUNG (洪),ML192358001
番鵑,Lesser Coucal,Centropus bengalensis,番鵑,Centropus bengalensis,LC,LECO,CEBE,lescou1,3140,,小鴉鵑,小鸦鹃,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/102831011/1200,©Jhih-Wei (志偉) TSAI (蔡),ML102831011
冠郭公,Chestnut-winged Cuckoo,Clamator coromandus,冠郭公,Clamator coromandus,LC,CWCU,CLCO,chwcuc1,3202,,紅翅鳳頭鵑,红翅凤头鹃,鬼郭公,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/57601371/1200,©Rui-Yang Ho,ML57601371
斑翅鳳頭鵑,Pied Cuckoo,Clamator jacobinus,斑翅鳳頭鵑,Clamator jacobinus,LC,PICU JACU,CLJA,piecuc1,3205,,斑翅鳳頭鵑,斑翅凤头鹃,,,,
噪鵑,Asian Koel,Eudynamys scolopaceus,噪鵑,Eudynamys scolopaceus,LC,ASKO WEKO,EUSC,asikoe2,3269,,噪鵑,噪鹃,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/580201571/1200,©Ting-Wei (廷維) HUNG (洪),ML580201571
八聲杜鵑,Plaintive Cuckoo,Cacomantis merulinus,八聲杜鵑,Cacomantis merulinus,LC,PLCU,CAME,placuc1,3365,,八聲杜鵑,八声杜鹃,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/184898371/1200,©Kun-Hui Lin,ML184898371
方尾烏鵑,Square-tailed Drongo-Cuckoo,Surniculus lugubris,方尾烏鵑,Surniculus lugubris,LC,STDC,SULU,asidrc3,3409,,烏鵑,乌鹃,,,,
鷹鵑,Large Hawk-Cuckoo,Hierococcyx sparverioides,鷹鵑,Hierococcyx sparverioides,LC,LHCU LAHC,HISP,larhac2,3416,,大鷹鵑,大鹰鹃,大慈悲心鳥,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/323142421/1200,©Ting-Wei (廷維) HUNG (洪),ML323142421
北方鷹鵑,Northern Hawk-Cuckoo,Hierococcyx hyperythrus,北方鷹鵑,Hierococcyx hyperythrus,LC,NOHC NHCU,HIHY,nohcuc1,3423,,北鷹鵑,北棕腹鹰鹃 (北鹰鹃),北方杜鵑,,,
棕腹鷹鵑,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,棕腹鷹鵑,Hierococcyx nisicolor,LC,HOHC WHCU HHCU WHHC,HINI,hodhac1,3425,,霍氏鷹鵑,棕腹鹰鹃 (霍氏鹰鹃),棕腹杜鵑,,,
小杜鵑,Lesser Cuckoo,Cuculus poliocephalus,小杜鵑,Cuculus poliocephalus,LC,LECU,CUPO,lescuc1,3432,,小杜鵑,小杜鹃,,,,
四聲杜鵑,Indian Cuckoo,Cuculus micropterus,四聲杜鵑,Cuculus micropterus,LC,INCU,CUMI,indcuc1,3434,,四聲杜鵑,四声杜鹃,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/598828751/1200,©Sin-Syue Li,ML598828751
喜馬拉雅中杜鵑,Himalayan Cuckoo,Cuculus saturatus,喜馬拉雅中杜鵑,Cuculus saturatus,LC,HICU,CUSA,himcuc1,3440,,中杜鵑,中杜鹃,,,,
大杜鵑,Common Cuckoo,Cuculus canorus,大杜鵑,Cuculus canorus,LC,COCU,CUCA,comcuc,3442,,大杜鵑,大杜鹃,布穀,,,
北方中杜鵑,Oriental Cuckoo,Cuculus optatus,北方中杜鵑,Cuculus optatus,LC,ORCU,CUOP,oricuc2,3448,,東方中杜鵑,东方中杜鹃 (北方中杜鹃),中杜鵑 筒鳥,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/622227027/1200,©Yu-Wei (昱緯) LI (李),ML622227027
普通夜鷹,Gray Nightjar,Caprimulgus jotaka,普通夜鷹,Caprimulgus jotaka,LC,GRNI,CAJO,grynig1,3634,,普通夜鷹,普通夜鹰,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/556345901/1200,©u7 Liao,ML556345901
南亞夜鷹,Savanna Nightjar,Caprimulgus affinis,南亞夜鷹,Caprimulgus affinis,LC,SANI,CAAF,savnig1,3707,,林夜鷹,林夜鹰,台灣夜鷹 臺灣夜鷹,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/89247331/1200,©Rui-Yang Ho,ML89247331
白喉針尾雨燕,White-throated Needletail,Hirundapus caudacutus,白喉針尾雨燕,Hirundapus caudacutus,LC,WTNE,HICA,whtnee,3918,,白喉針尾雨燕,白喉针尾雨燕,針尾雨燕,,,
灰喉針尾雨燕,Silver-backed Needletail,Hirundapus cochinchinensis,灰喉針尾雨燕,Hirundapus cochinchinensis,LC,SBNE,HICO,sibnee1,3921,,灰喉針尾雨燕,灰喉针尾雨燕,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/443895311/1200,©Chien-wei Tseng,ML443895311
紫針尾雨燕,Purple Needletail,Hirundapus celebensis,紫針尾雨燕,Hirundapus celebensis,LC,PUNE,HICE,purnee1,3928,,紫針尾雨燕,紫针尾雨燕,,,,
灰腰金絲燕,Gray-rumped Swiftlet,Collocalia marginata,灰腰金絲燕,Collocalia marginata,LC,GLSW GRSW,COMA,gyrswi5,3945,,灰腰金絲燕,,,,,
短嘴金絲燕,Himalayan Swiftlet,Aerodramus brevirostris,短嘴金絲燕,Aerodramus brevirostris,LC,HISW,AEBR,himswi2,4010,,短嘴金絲燕,短嘴金丝燕,,,,
白燕窩金絲燕,White-nest Swiftlet,Aerodramus fuciphagus,白燕窩金絲燕,Aerodramus fuciphagus,LC,ENSW WNSW,AEFU,y00731,4059,,爪哇金絲燕複合種,爪哇金丝燕,,,,
叉尾雨燕,Pacific Swift,Apus pacificus,叉尾雨燕,Apus pacificus,LC,PASW FTSW,APPA,fotswi,4127,,白腰雨燕,白腰雨燕,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/421014491/1200,©Ting-Wei (廷維) HUNG (洪),ML421014491
小雨燕,House Swift,Apus nipalensis,小雨燕,Apus nipalensis,LC,HOSW,APNI,houswi1,4144,,小白腰雨燕,小白腰雨燕,家雨燕,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/582458241/1200,©Sheng Wun Jheng,ML582458241
西方秧雞,Water Rail,Rallus aquaticus,西方秧雞,Rallus aquaticus,LC,WARA WWRA WEWR,RAAQ,watrai1,5308,,西方秧雞,西方秧鸡,秧雞 普通秧雞,,,
東亞秧雞,Brown-cheeked Rail,Rallus indicus,東亞秧雞,Rallus indicus,LC,EWRA BCRA,RAIN,bncrai1,5312,,普通秧雞,普通秧鸡,秧雞,,,
灰胸秧雞,Slaty-breasted Rail,Lewinia striata,灰胸秧雞,Lewinia striata,LC,SBRA,LEST,slbrai1,5330,,灰胸秧雞,灰胸秧鸡 (蓝胸秧鸡),藍胸秧雞 灰胸紋秧雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/464481211/1200,©Yu-Wei (昱緯) LI (李),ML464481211
斑胸秧雞,Spotted Crake,Porzana porzana,斑胸秧雞,Porzana porzana,LC,SPCR,POPO,spocra1,5456,,斑胸秧雞,斑胸田鸡,斑胸田雞,,,
紅冠水雞,Eurasian Moorhen,Gallinula chloropus,紅冠水雞,Gallinula chloropus,LC,EUMO COMO,GACH,commoo3,5462,,黑水雞,黑水鸡,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/608606771/1200,©Ting-Wei (廷維) HUNG (洪),ML608606771
白冠雞,Eurasian Coot,Fulica atra,白冠雞,Fulica atra,LC,EUCO,FUAT,eurcoo,5487,,白骨頂,白骨顶 (骨顶鸡),骨頂雞 鳧翁,,,
灰頭紫水雞,Gray-headed Swamphen,Porphyrio poliocephalus,灰頭紫水雞,Porphyrio poliocephalus,LC,GHSW PUSW,POPO,purswa3,5533,,紫水雞,紫水鸡,,,,
白眉秧雞,White-browed Crake,Poliolimnas cinereus,白眉秧雞,Poliolimnas cinereus,LC,WBCR,POCI,whbcra1,5545,,白眉田雞,白眉田鸡,,,,
董雞,Watercock,Gallicrex cinerea,董雞,Gallicrex cinerea,LC,WATE,GACI,waterc1,5549,,董雞,董鸡,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/468687181/1200,©Kun-Hui Lin,ML468687181
菲律賓秧雞,Plain Bush-hen,Amaurornis olivacea,菲律賓秧雞,Amaurornis olivacea,LC,PBHE PHBH PLBH,AMOL,plabuh1,5551,,,,,,,
白腹秧雞,White-breasted Waterhen,Amaurornis phoenicurus,白腹秧雞,Amaurornis phoenicurus,LC,WBWA,AMPH,whbwat1,5552,,白胸苦惡鳥,白胸苦恶鸟,白胸秧雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/344536731/1200,©Ting-Wei (廷維) HUNG (洪),ML344536731
紅腳秧雞,Red-legged Crake,Rallina fasciata,紅腳秧雞,Rallina fasciata,LC,RLCR,RAFA,relcra1,5568,,,红腿斑秧鸡,紅腿斑秧雞,,,
灰腳秧雞,Slaty-legged Crake,Rallina eurizonoides,灰腳秧雞,Rallina eurizonoides,LC,SLCR,RAEU,sllcra1,5569,,灰腳秧雞,白喉斑秧鸡,白喉斑秧雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/545318431/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML545318431
緋秧雞,Ruddy-breasted Crake,Zapornia fusca,緋秧雞,Zapornia fusca,LC,RBCR,ZAFU,rubcra1,5578,,紅胸田雞,红胸田鸡,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/255068501/1200,©Ting-Wei (廷維) HUNG (洪),ML255068501
斑脇秧雞,Band-bellied Crake,Zapornia paykullii,斑脇秧雞,Zapornia paykullii,NT,BBCR,ZAPA,babcra1,5583,,斑脇田雞,斑胁田鸡,斑脅田雞,,,
紅腳苦惡鳥,Brown Crake,Zapornia akool,紅腳苦惡鳥,Zapornia akool,LC,BRCR,ZAAK,brocra1,5584,,红腳田雞,红脚田鸡 (红脚苦恶鸟),,,,
小秧雞,Baillon's Crake,Zapornia pusilla,小秧雞,Zapornia pusilla,LC,BACR MACR,ZAPU,baicra1,5589,,小田雞,小田鸡,,,,
白鶴,Siberian Crane,Leucogeranus leucogeranus,白鶴,Leucogeranus leucogeranus,CR,SICR,LELE,sibcra1,5696,,白鶴,白鹤,,,,
沙丘鶴,Sandhill Crane,Antigone canadensis,沙丘鶴,Antigone canadensis,LC,SACR,ANCA,sancra,5697,,沙丘鶴,沙丘鹤,,,,
白枕鶴,White-naped Crane,Antigone vipio,白枕鶴,Antigone vipio,VU,WNCR,ANVI,whncra1,5705,,白枕鶴,白枕鹤,,,,
簑羽鶴,Demoiselle Crane,Grus virgo,簑羽鶴,Grus virgo,LC,DECR,GRVI,demcra1,5713,,,蓑羽鹤,,,,
丹頂鶴,Red-crowned Crane,Grus japonensis,丹頂鶴,Grus japonensis,VU,RCCR,GRJA,reccra1,5715,,丹頂鶴,丹顶鹤,,,,
灰鶴,Common Crane,Grus grus,灰鶴,Grus grus,LC,COCR CCRA,GRGR,comcra,5718,,灰鶴,灰鹤,,,,
白頭鶴,Hooded Crane,Grus monacha,白頭鶴,Grus monacha,VU,HOCR,GRMO,hoocra1,5721,,,白头鹤,,,,
高蹺鴴,Black-winged Stilt,Himantopus himantopus,高蹺鴴,Himantopus himantopus,LC,EBWS BWST,HIHI,bkwsti,5763,,黑翅長腳鷸,黑翅长脚鹬,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/324848171/1200,©Kun-Hui Lin,ML324848171
黑領高蹺鴴,Pied Stilt,Himantopus leucocephalus,黑領高蹺鴴,Himantopus leucocephalus,LC,BWST PIST,HILE,piesti1,5764,,,澳洲长脚鹬,,,,
反嘴鴴,Pied Avocet,Recurvirostra avosetta,反嘴鴴,Recurvirostra avosetta,LC,PIAV,REAV,pieavo1,5777,,反嘴鷸,反嘴鹬,,,,
蠣鴴,Eurasian Oystercatcher,Haematopus ostralegus,蠣鴴,Haematopus ostralegus,NT,EUOY,HAOS,euroys1,5786,,蠣鷸,蛎鹬,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/146349161/1200,©Ting-Wei (廷維) HUNG (洪),ML146349161
灰斑鴴,Black-bellied Plover,Pluvialis squatarola,灰斑鴴,Pluvialis squatarola,VU,GRPL BBPL,PLSQ,bkbplo,5811,,灰斑鴴,灰斑鸻,,,,
